No,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,no_segmen,segmen,hari,volume_lalu_lintas,satuan,tahun
143,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,1064.93,SMP/JAM,2019
144,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1261.8,SMP/JAM,2019
145,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,106000,SMP/JAM,2019
146,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,978.47,SMP/JAM,2019
147,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,1180.88,SMP/JAM,2019
148,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,1151.28,SMP/JAM,2019
149,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,122500,SMP/JAM,2019
150,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,1536.82,SMP/JAM,2019
151,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,937.7,SMP/JAM,2019
152,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,970.31,SMP/JAM,2019
153,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,876.44,SMP/JAM,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,4,"SALABENDA
  (BATAS KOTA) - SIMPANG KAYU MANIS",HARI LIBUR,1008.29,SMP/JAM,2019
155,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,1376.65,SMP/JAM,2020
156,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,1106.69,SMP/JAM,2020
157,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,1420.7,SMP/JAM,2020
158,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,1296.66,SMP/JAM,2020
159,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,958.44,SMP/JAM,2020
160,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1135.62,SMP/JAM,2020
161,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,95400,SMP/JAM,2020
162,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,880.64,SMP/JAM,2020
163,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,1062.79,SMP/JAM,2020
164,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,1036.12,SMP/JAM,2020
165,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,1102.5,SMP/JAM,2020
166,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,1383.14,SMP/JAM,2020
167,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,843.93,SMP/JAM,2020
168,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,873.28,SMP/JAM,2020
169,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,788.8,SMP/JAM,2020
